Infantil,,,,,,Gestacao e Puerperio,,,,,,,,,,
Mes/2025,Ter a 1 consulta presencial realizada por médica(o) ou enfermeira(o) ate o 30 dia de vida,Ter pelo menos 09 (nove) consultas presenciais ou remotas realizadas por medica (o) ou enfermeira(o) ate dois anos de vida,Ter pelo menos 09 (nove) registros simultaneos de peso e altura ate os dois anos de vida,Ter pelo menos 02 (duas) visitas domiciliares realizadas por ACS/TACS sendo a primeira ate os primeiros 30 (trinta) dias de vida e a segunda até os 06 (seis) meses de vida,Ter vacinas contra difteria  tetano coqueluche hepatite B infeccoes causadas por Haemophilus influenzae tipo b poliomielite sarampo caxumba e rubeola pneumococica registradas com todas as doses recomendadas,Ter a 1 consulta presencial ou remota realizada por medica(o) ou enfermeira(o) ate a 12 semana de gestação.,Ter pelo menos 07 (sete) consultas presenciais ou remotas realizadas por medica(o) ou enfermeira(o) durante o periodo da gestacao.,Ter pelo menos 07 (sete) registro de afericao de pressao arterial realizados durante o periodo da gestacao,Ter pelo menos 07 (sete) registros simultâneos de peso e altura durante o periodo da gestacao,Ter pelo menos 03 (tres) visitas domiciliares realizadas por ACS/TACS apos a primeira consulta do pre-natal,Ter vacina acelular contra difteria tetano coqueluche (dTpa) registrada a partir da 20 semana de cada gestacao,Ter registro dos testes rapidos ou dos exames avaliados para sifilis HIV e hepatites B e C realizados no 1 trimestre de cada gestacao,Ter registro dos testes rapidos ou dos exames avaliados para sifilis e HIV realizados no 3 trimestre de cada gestacao,Ter pelo menos 01 registro de consulta presencial ou remota realizada por medica(o) ou enfermeira(o) durante o puerperio,Ter pelo menos 01 visita domiciliar realizada por ACS/TACS durante o puerperio,Ter pelo menos 01 atividade em saude bucal realizada por cirurgia(ao) dentista ou técnica(o) de saude bucal durante o periodo da gestacao
Janeiro,613,636,636,636,636,845,244,225,116,291,527,447,85,135,89,315
Fevereiro,630,276,66,384,735,962,286,270,154,355,606,504,119,153,103,371
Março,710,293,71,405,730,1029,322,301,174,431,674,545,163,192,117,436
Abril,789,308,71,431,691,1085,371,350,194,513,724,592,192,234,137,498
Maio,817,323,73,448,623,1107,381,369,197,581,749,610,182,239,182,530
Junho,846,334,68,475,662,1118,382,354,197,580,757,643,179,236,151,519
Julno,888,352,77,503,613,1147,384,376,211,591,757,666,185,254,170,521
Agosto,937,363,73,531,599,1124,380,375,210,591,752,662,182,276,175,529
Setembro,930,354,73,514,619,1048,303,313,170,508,719,635,157,226,100,481
Outubro,909,334,65,493,583,941,204,227,119,405,698,577,124,138,18,406
Novembro,1063,417,103,616,591,1158,379,385,237,588,736,771,211,257,174,522
Dezembro,1078,443,110,619,589,1143,382,370,244,559,702,783,185,244,124,491
